bitstring,count,probability
00100011110000110101011001000010110010100001101100000010110010011000,1,0.0009765625
10010011110101001100101100000000010010010000010000000100010000110101,1,0.0009765625
00111011110011110011000101110100011010111111110001010011100110110000,1,0.0009765625
11011011001011110101101101010100011100101111100111000001000111110001,1,0.0009765625
01110110111110011101011010010010101011001111010011010010011010001000,1,0.0009765625
00111000010010100011101000100001111110011000111010001000110100100100,1,0.0009765625
00110010010110111101000001111110111110101000011110100001110001111110,1,0.0009765625
00001011001100111010101000110101101001100001101011111100110001001010,1,0.0009765625
00100110110001111111001001110001110011111110100110101101100011011011,1,0.0009765625
00100111001001111010100001111000011011100111010110011010110100000011,1,0.0009765625
10010000101011001011101111111011110111110101001110101010000010111101,1,0.0009765625
00001001001111101010100111111011000111001101100110000100011110111010,1,0.0009765625
00100110111010101000101100011000010111101100000011010011100110110110,1,0.0009765625
01001111000011100111101110110001100110011100100100110001100101000110,1,0.0009765625
01110110110111010100000110101001101011110011010111001000010001111101,1,0.0009765625
01100101010110111000101111111011100010100011001101101010010011100110,1,0.0009765625
00001010101000011010100011001101100111110111011100000011100101110011,1,0.0009765625
00001101011101101010000011000000010111110000100110001000100000110101,1,0.0009765625
01110001101000011001100100001001001011011000111010000110100111100000,1,0.0009765625
10101011011111100101001010110001100011111011110100111110000100001101,1,0.0009765625
10101000010000000010111011000001000110011000001101011011100111110010,1,0.0009765625
11000001011100010101001111000000010010100100000101111100010011010001,1,0.0009765625
01111001111101011111000010100000000110010000100010110010010110010000,1,0.0009765625
11000100000001010110011000111101011001000011101101111000010111011100,1,0.0009765625
01100000011010100001000101101101101101111110001100010000010010000100,1,0.0009765625
00101011111000101111100001111100010010001011111011001101010001000010,1,0.0009765625
10110110101101010100001000001100000110110101101000011011100101100100,1,0.0009765625
10100111111111110101101001101000101101110001010110100010110001110011,1,0.0009765625
00000010101001001000101000100010101110111001101100011001100110010001,1,0.0009765625
00010110110100100100100010000000010010111110011011100111110111010011,1,0.0009765625
11011110000001111011011111001000110110100101111101011100100011001100,1,0.0009765625
11111110100001101111101010001101111110010101110010010000010010001000,1,0.0009765625
01011001101000001011010010110001110100110010001110000111000111010111,1,0.0009765625
01110111001110011100001010111000000111001001111000011000000101100010,1,0.0009765625
00000011101001111110111111001111110100111001011100011010000111000001,1,0.0009765625
01011100010110100111100110011000101101011011011101110001000010100010,1,0.0009765625
01000011000101111010100100010000110110101011110111000011110001100010,1,0.0009765625
11101000110110011001010001000101010010011100000100000110100100000101,1,0.0009765625
01110000001110010011100011011101111100100010001110111011000111110000,1,0.0009765625
10001010010100011101100001100011000111100010010010110000000011101001,1,0.0009765625
01011011011011000111100000001010000101001100101100100001101101001000,1,0.0009765625
10000010111111001110011111000111000111100101011011001100000011101100,1,0.0009765625
00110011000000011011010010101001011101011110111001000011010110010101,1,0.0009765625
01101111101011001011111101000001101111000001011011110110010111110011,1,0.0009765625
00111011000100101001000010111100011101000000110101011110000000111111,1,0.0009765625
00001010110000101100100001010101010000101010101100001000110111000110,1,0.0009765625
11000110101101101011100010111001000111101001101100001101110000001011,1,0.0009765625
10111001010001001110000101110110101100110101101111110000110110110000,1,0.0009765625
00011101111011101111000101101100101010001011001101010000010100010101,1,0.0009765625
00111100000100100110000110110000011010101000111111100011100110001110,1,0.0009765625
00011010011110110110001111011000110110100101011111111100000111110100,1,0.0009765625
11011100011000111100001011111001100011111011111011010000010111110110,1,0.0009765625
01101011000111100111100000010001000000000000001011100000100011111000,1,0.0009765625
11110011101001101001000111111010100110101101000111010000100110111001,1,0.0009765625
11001010111110111000110100000001110110110000000111010000010011000111,1,0.0009765625
11100100111111000001111000011000110011101101010100010010010110110000,1,0.0009765625
11000001001000101100000111100011100110010111111011101001000010100101,1,0.0009765625
11110010011101111101001111110000000110011000100010110000100000010110,1,0.0009765625
10111000110101110010101111001000000010101001010111101111010000001010,1,0.0009765625
11011001001110110001001111000101110110111111110110010011110010000000,1,0.0009765625
10011101001101000100101100111000101111100110100010110110000000110001,1,0.0009765625
01011001101010110010010100110100101110011010010000010101100010100101,1,0.0009765625
10000100111001110011000110010100010110101001001100110001100110100101,1,0.0009765625
11000001000010101111110111011000000111000000010111010010110101110011,1,0.0009765625
01000010110011010001000000110001000110100000111011001001100011011101,1,0.0009765625
01001010010100011100001111010000001100011110000000011010000111110110,1,0.0009765625
00000001000110101110110110010100001111100100010011001001000111000001,1,0.0009765625
10111101010100101100100110010010000010101011101100101100011111000000,1,0.0009765625
11001101101101010111010001111100110111101100110101100000100110111000,1,0.0009765625
00100111010101000111101101110010100010010000001101010001100010001000,1,0.0009765625
11010000001010111101000001000101000110111000001010000000010011111010,1,0.0009765625
00000000101101101000010001010101000000011001001101101001000111010000,1,0.0009765625
10001100001100111000100001001000001100110010101111100000110111001110,1,0.0009765625
00000001010111110101101100000101001100110101011001101011010100110011,1,0.0009765625
01101010011011110000000101111100100110101101101110011000011110110000,1,0.0009765625
11100110001000001010000011010110001110111101000001000000010110110101,1,0.0009765625
10011010111011011111001101011101101110101110110111000010100111101000,1,0.0009765625
10001001100000011001110111110100110101001000000111010000110100100001,1,0.0009765625
10100011011001010101110100101001011100000110100011100110110011010011,1,0.0009765625
10011010111100000101000111101100111010101010001110111110011011111110,1,0.0009765625
10000010001001111000111011011011110001111000100011000010000011000111,1,0.0009765625
00001110000100100100100010001101100010010001000101100001100100011001,1,0.0009765625
01101011101100100001001111110001010100000110100110100101000010110011,1,0.0009765625
11000011101000011110001111011100111110111010011001011111110100001101,1,0.0009765625
10100010101001011100000000010100010111100001001001110101000010000000,1,0.0009765625
00100001010000000101100000000001111010110100001011010010010101110101,1,0.0009765625
11000110101101010111000111010001000101111110001010110011100111000111,1,0.0009765625
01101110011111100001001000011101000010110001101011110111101100001011,1,0.0009765625
00101011011101010011100110100100110111110100001100000000010010111000,1,0.0009765625
10100010001010001110100011100101111110011101000111001101010110110100,1,0.0009765625
10010100101000100101001000001001000001100011101101010100000010000010,1,0.0009765625
00001011011111000110010100010100101001011001101111010010101101100110,1,0.0009765625
11101011110111000011001001110011011011011010101111010011010001011101,1,0.0009765625
11111110011111001011000000000100001011110101110110011010010001100111,1,0.0009765625
01001100110111100101000111011110000011111111100111001001010011110100,1,0.0009765625
01001111101100011100100000111000011100001111000110010011110100101010,1,0.0009765625
01100011001010010110001011111100100110100110000100110110000111111000,1,0.0009765625
10110100111010010010011010110000000011111100000011000001100101001111,1,0.0009765625
01000001111011000110101100010101010111110011010111000001011101101001,1,0.0009765625
01000011111001001110100100010101111000010011111011100100010100100101,1,0.0009765625
11000010011010010110101110110001110100001101100110110100000001000101,1,0.0009765625
11001110111101111000101000010100001101010011101011000000110010111010,1,0.0009765625
11110011110110100111010110011100100101011001101110101011110110111001,1,0.0009765625
00110101000110110101001111010110100100001101100000100111010001100110,1,0.0009765625
10000101010101111010000001101110101111110011100100000010000100110011,1,0.0009765625
00100111011110100110000000000100010110000110000001110110010111101011,1,0.0009765625
00100101000101100011100110001000100010010001111100000111100101110000,1,0.0009765625
01011110110110110100000010000110010111001011111011011011100101110010,1,0.0009765625
10011011101101111110000101101011000110000111101001100000000001000110,1,0.0009765625
00100010010110000100100010010001111000001010001011110100010101100000,1,0.0009765625
10101101000010100010001010011010111100101111011011110010110001001001,1,0.0009765625
00000011000101000100001111111010011111001010100000001001010111111100,1,0.0009765625
00111101001110000000001001101000110111011100001011001011100111110010,1,0.0009765625
01011111000000010001000001110111011000011000001010011111110011001000,1,0.0009765625
11000101001110001110010000111011000101010011000001111110100110101100,1,0.0009765625
00101001110011100111100100010010100010111011000111010011000110010000,1,0.0009765625
10101010001100100010100100000010011110010100110101100101110111011001,1,0.0009765625
10001010010111001000100111001100110110111110101001100101100010111010,1,0.0009765625
00000101001010001101010101100100110010101100010010100011100001011110,1,0.0009765625
00010111000110101110111100001101011101110101101111100010110010101010,1,0.0009765625
10001001001101110011111110110100000111000101100001100001110111011001,1,0.0009765625
00101010010101011101011001001010100011011111000111000011110011001000,1,0.0009765625
01011100110001111010001110001100111101101010100101110101110111000101,1,0.0009765625
01010110010110010000011000001000011010010010101010101101011001000011,1,0.0009765625
00111100101011000000101011000011001011101111101110011111000001110000,1,0.0009765625
00101010111010011010011000011001011101110110101111100011100011110010,1,0.0009765625
10000001000000000101101000111010001001101111000100101011100111101100,1,0.0009765625
00101001100001010111001110011111101111010100011110010101110101100101,1,0.0009765625
10100011101111110100100010111101000110111101100000100010000010101001,1,0.0009765625
11000010111100001010100111010000101011000011101100110011010011110011,1,0.0009765625
01001011110111000100100110111001110111100011011000110110101111101001,1,0.0009765625
00110001111110001100001001100000101010111110101101100100110111010001,1,0.0009765625
11001110010010000010101111111100011110100011000100110010000101111010,1,0.0009765625
00111010111100101011101011011110001010011110010001110100010000010011,1,0.0009765625
10111111100101110111100001101001110111011110101110010000100001001011,1,0.0009765625
00111100001110100011111110000010100111001000011000000011000010110010,1,0.0009765625
11000010100100011110100000010000110010001100110010101000110010010010,1,0.0009765625
01001110001101011100111100010010110111001011111100010110110001100000,1,0.0009765625
10001101010000001100100100110001001101000011011111001000110100100010,1,0.0009765625
00101001100110001010001010111000110001110000000011101010000001100010,1,0.0009765625
10110110101110100010000101001100110110101111011001101100001101011111,1,0.0009765625
00101111100100010110111100110001001111011100111000011101010111000101,1,0.0009765625
10001010101011000100100101110100111110100000110001110100000010110000,1,0.0009765625
10000101101100011000100110010010101101010101001101000111100000011000,1,0.0009765625
00000101001110001111010011111100001011001110010001110000101101000000,1,0.0009765625
10100000101011101111000011011010000111000100101000101111100100011001,1,0.0009765625
10010110101000100110101111001001110101111110010110100010010011001110,1,0.0009765625
01010001110000011010000100011100001110001011010100101001010101000100,1,0.0009765625
10100000111111000100000000110111010110001000010000110011100101000010,1,0.0009765625
10100010010111111011111001101101100111000111101011010001110101110111,1,0.0009765625
11010011101111111010001011010100100111110110110011100011110111010110,1,0.0009765625
01000001010001100011011111111100001011101010011100011100100010110111,1,0.0009765625
10111000101101000110111011000101100100000001100101010001110010010011,1,0.0009765625
10011101010111001011010011001101001110000101011101010010011000101100,1,0.0009765625
01100101110110110110001000100010001110010011010100110100010110000001,1,0.0009765625
00000001111110010111111111010001111101010001110111000001100010000000,1,0.0009765625
10010110001000110010000000010101000111001100110100100111000011010001,1,0.0009765625
00101010001101000101010010010111101000110011110110010111100011111010,1,0.0009765625
10000001001110001110111010010111000010001100010110010000100110111001,1,0.0009765625
10110010100110100110000110010000100110010011111111001001101001111000,1,0.0009765625
00011111010101111011010000000111011100101001110110001100010001011011,1,0.0009765625
01101100010010011011000010010010001010001111111001010000010011110100,1,0.0009765625
11110000000111100100000100010101011010110111011010110000010001010010,1,0.0009765625
11100000011101010000100110010111101111101011000111100011100101100010,1,0.0009765625
11101000110100000010100010111010011011000001110100000111110111110000,1,0.0009765625
00001101011001100001010001101111100111101001111011110000000011001001,1,0.0009765625
01010100001111001010001100011100110111000000010100111001100000000110,1,0.0009765625
11100110011000110101000101010101001010001000111010111111100111010101,1,0.0009765625
01001010001110101011000001100001000110111100010110000011110001011100,1,0.0009765625
01001100101000101000001000010101000101000101100101100000100011110110,1,0.0009765625
00000010100100010011001111110101101010100100000011000001110011001000,1,0.0009765625
01111101101100001101001100111101010010000011011100100100010011100100,1,0.0009765625
00001010010010111111110001010001101111010110110100000001001101100000,1,0.0009765625
10100111111010000110101100001001111110011101011001101100000111000001,1,0.0009765625
10000011000100111010010010010001001001010100100011011000010110001011,1,0.0009765625
10000110000010101010001100011111101100111101011000110101100110101010,1,0.0009765625
11111101000001100010011010110010100110001111110110000011001001010001,1,0.0009765625
01001001011100010010011001110111101011111001001100101010100110101001,1,0.0009765625
